2020-09-11,15:59:01
LOCATION	CASES	DEATHS	RECOVERED
Gooding-Idaho	247	0	NA
Idaho-Idaho	51	0	NA
Jefferson-Idaho	391	1	NA
Jerome-Idaho	676	6	NA
Kootenai-Idaho	2322	31	NA
Latah-Idaho	268	0	NA
Lemhi-Idaho	74	0	NA
Lewis-Idaho	11	0	NA
Lincoln-Idaho	81	0	NA
Madison-Idaho	322	0	NA
Minidoka-Idaho	583	6	NA
Nez Perce-Idaho	351	20	NA
Oneida-Idaho	22	0	NA
Owyhee-Idaho	316	5	NA
Payette-Idaho	756	4	NA
Power-Idaho	182	0	NA
Shoshone-Idaho	206	17	NA
Teton-Idaho	141	0	NA
Twin Falls-Idaho	1842	36	NA
Valley-Idaho	86	1	NA
Washington-Idaho	316	4	NA
Adams-Illinois	849	11	NA
Alexander-Illinois	52	1	NA
Bond-Illinois	216	4	NA
Boone-Illinois	947	23	NA
Brown-Illinois	25	0	NA
Bureau-Illinois	469	9	NA
Calhoun-Illinois	33	0	NA
Carroll-Illinois	156	4	NA
Cass-Illinois	341	11	NA
Champaign-Illinois	3811	20	NA
Christian-Illinois	284	9	NA
Clark-Illinois	123	2	NA
Clay-Illinois	116	0	NA
Clinton-Illinois	902	19	NA
Coles-Illinois	1180	25	NA
Cook-Illinois	132966	5103	NA
Crawford-Illinois	204	1	NA
Cumberland-Illinois	176	4	NA
De Kalb-Illinois	1339	36	NA
De Witt-Illinois	62	1	NA
Douglas-Illinois	247	5	NA
Du Page-Illinois	15704	540	NA
Edgar-Illinois	98	3	NA
Edwards-Illinois	50	0	NA
Effingham-Illinois	703	1	NA
Fayette-Illinois	227	3	NA
Ford-Illinois	82	4	NA
Franklin-Illinois	398	1	NA
Fulton-Illinois	107	0	NA
Gallatin-Illinois	67	2	NA
Greene-Illinois	172	1	NA
Grundy-Illinois	555	5	NA
Hamilton-Illinois	49	0	NA
Hancock-Illinois	167	2	NA
Hardin-Illinois	24	0	NA
Henderson-Illinois	57	0	NA
Henry-Illinois	556	4	NA
Iroquois-Illinois	326	19	NA
Jackson-Illinois	1103	25	NA
Jasper-Illinois	168	7	NA
Jefferson-Illinois	502	37	NA
Jersey-Illinois	333	11	NA
Jo Daviess-Illinois	200	2	NA
Johnson-Illinois	126	0	NA
Kane-Illinois	11938	320	NA
Kankakee-Illinois	2520	72	NA
Kendall-Illinois	1824	26	NA
Knox-Illinois	506	3	NA
Lake-Illinois	15486	476	NA
La Salle-Illinois	1429	54	NA
Lawrence-Illinois	207	0	NA
Lee-Illinois	290	1	NA
Livingston-Illinois	253	4	NA
Logan-Illinois	353	1	NA
McDonough-Illinois	371	15	NA
McHenry-Illinois	4242	118	NA
McLean-Illinois	2783	18	NA
Macon-Illinois	1162	29	NA
Macoupin-Illinois	418	6	NA
Madison-Illinois	4693	115	NA
Marion-Illinois	387	0	NA
Marshall-Illinois	63	0	NA
Mason-Illinois	102	1	NA
Massac-Illinois	76	1	NA
Menard-Illinois	91	0	NA
Mercer-Illinois	113	5	NA
Monroe-Illinois	558	15	NA
Montgomery-Illinois	273	11	NA
Morgan-Illinois	598	21	NA
Moultrie-Illinois	183	3	NA
Ogle-Illinois	569	5	NA
Peoria-Illinois	2760	42	NA
Perry-Illinois	311	13	NA
Piatt-Illinois	102	0	NA
Pike-Illinois	93	1	NA
Pope-Illinois	23	1	NA
Pulaski-Illinois	144	1	NA
Putnam-Illinois	27	0	NA
Randolph-Illinois	809	8	NA
Richland-Illinois	99	4	NA
Rock Island-Illinois	2597	71	NA
St Clair-Illinois	6516	179	NA
Saline-Illinois	194	3	NA
Sangamon-Illinois	2088	43	NA
Schuyler-Illinois	32	0	NA
Scott-Illinois	53	0	NA
Shelby-Illinois	286	4	NA
Stark-Illinois	40	1	NA
Stephenson-Illinois	409	6	NA
Tazewell-Illinois	1323	12	NA
Union-Illinois	455	24	NA
Vermilion-Illinois	425	4	NA
Wabash-Illinois	125	1	NA
Warren-Illinois	279	1	NA
Washington-Illinois	145	1	NA
Wayne-Illinois	164	2	NA
White-Illinois	145	0	NA
Whiteside-Illinois	616	19	NA
Will-Illinois	12651	365	NA
Williamson-Illinois	1098	23	NA
Winnebago-Illinois	4661	152	NA
Woodford-Illinois	340	5	NA
Adams-Indiana	212	4	NA
Allen-Indiana	5547	199	NA
Bartholomew-Indiana	1122	60	NA
Benton-Indiana	85	0	NA
Blackford-Indiana	101	2	NA
Boone-Indiana	932	49	NA
Brown-Indiana	92	3	NA
Carroll-Indiana	262	13	NA
Cass-Indiana	1903	10	NA
Clark-Indiana	1962	60	NA
Clay-Indiana	269	5	NA
Clinton-Indiana	583	15	NA
Crawford-Indiana	89	1	NA
Daviess-Indiana	572	27	NA
Dearborn-Indiana	609	30	NA
Decatur-Indiana	464	41	NA
De Kalb-Indiana	395	9	NA
Delaware-Indiana	1683	59	NA
Dubois-Indiana	896	17	NA
Elkhart-Indiana	6032	107	NA
Fayette-Indiana	497	13	NA
Floyd-Indiana	1190	62	NA
Fountain-Indiana	109	2	NA
Franklin-Indiana	295	26	NA
Fulton-Indiana	219	2	NA
Gibson-Indiana	369	4	NA
Grant-Indiana	1138	35	NA
Greene-Indiana	392	38	NA
Hamilton-Indiana	4401	116	NA
Hancock-Indiana	873	45	NA
Harrison-Indiana	529	26	NA
Hendricks-Indiana	2544	136	NA
Henry-Indiana	697	23	NA
Howard-Indiana	1197	65	NA
Huntington-Indiana	197	3	NA
Jackson-Indiana	723	10	NA
Jasper-Indiana	363	2	NA
Jay-Indiana	155	0	NA
Jefferson-Indiana	228	3	NA
Jennings-Indiana	300	14	NA
Johnson-Indiana	2169	131	NA
Knox-Indiana	424	8	NA
Kosciusko-Indiana	1146	19	NA
La Grange-Indiana	623	11	NA
Lake-Indiana	9793	325	NA
La Porte-Indiana	1297	37	NA
Lawrence-Indiana	488	29	NA
Madison-Indiana	1473	85	NA
Marion-Indiana	19717	805	NA
Marshall-Indiana	948	23	NA
Martin-Indiana	141	0	NA
Miami-Indiana	414	2	NA
Monroe-Indiana	1839	40	NA
Montgomery-Indiana	487	22	NA
Morgan-Indiana	648	39	NA
