2020-09-10,15:59:01
LOCATION	CASES	DEATHS	RECOVERED
Macon-Illinois	1162	29	0
Macoupin-Illinois	418	6	0
Madison-Illinois	4693	115	0
Marion-Illinois	387	0	0
Marshall-Illinois	63	0	0
Mason-Illinois	102	1	0
Massac-Illinois	76	1	0
Menard-Illinois	91	0	0
Mercer-Illinois	113	5	0
Monroe-Illinois	558	15	0
Montgomery-Illinois	273	12	0
Morgan-Illinois	580	21	0
Moultrie-Illinois	183	3	0
Ogle-Illinois	550	5	0
Peoria-Illinois	2755	42	0
Perry-Illinois	311	13	0
Piatt-Illinois	102	0	0
Pike-Illinois	93	1	0
Pope-Illinois	23	1	0
Pulaski-Illinois	144	1	0
Putnam-Illinois	27	0	0
Randolph-Illinois	809	8	0
Richland-Illinois	99	4	0
Rock Island-Illinois	2532	66	0
St Clair-Illinois	5852	176	0
Saline-Illinois	194	3	0
Sangamon-Illinois	2049	42	0
Schuyler-Illinois	32	0	0
Scott-Illinois	53	0	0
Shelby-Illinois	286	4	0
Stark-Illinois	40	1	0
Stephenson-Illinois	409	6	0
Tazewell-Illinois	1323	11	0
Union-Illinois	455	24	0
Vermilion-Illinois	425	4	0
Wabash-Illinois	125	1	0
Warren-Illinois	279	1	0
Washington-Illinois	145	1	0
Wayne-Illinois	164	2	0
White-Illinois	145	0	0
Whiteside-Illinois	609	19	0
Will-Illinois	12591	365	0
Williamson-Illinois	1098	23	0
Winnebago-Illinois	4661	148	0
Woodford-Illinois	332	4	0
Adams-Indiana	210	3	0
Allen-Indiana	5463	187	0
Bartholomew-Indiana	1098	56	0
Benton-Indiana	85	0	0
Blackford-Indiana	89	2	0
Boone-Indiana	901	46	0
Brown-Indiana	91	3	0
Carroll-Indiana	263	13	0
Cass-Indiana	1899	9	0
Clark-Indiana	1922	53	0
Clay-Indiana	265	5	0
Clinton-Indiana	577	11	0
Crawford-Indiana	81	0	0
Daviess-Indiana	561	25	0
Dearborn-Indiana	597	28	0
Decatur-Indiana	433	38	0
De Kalb-Indiana	383	8	0
Delaware-Indiana	1641	58	0
Dubois-Indiana	889	17	0
Elkhart-Indiana	5898	102	0
Fayette-Indiana	378	12	0
Floyd-Indiana	1169	59	0
Fountain-Indiana	105	2	0
Franklin-Indiana	283	25	0
Fulton-Indiana	216	2	0
Gibson-Indiana	361	4	0
Grant-Indiana	783	32	0
Greene-Indiana	383	35	0
Hamilton-Indiana	4307	107	0
Hancock-Indiana	856	42	0
Harrison-Indiana	524	24	0
Hendricks-Indiana	2488	118	0
Henry-Indiana	673	23	0
Howard-Indiana	1175	62	0
Huntington-Indiana	192	3	0
Jackson-Indiana	718	9	0
Jasper-Indiana	355	2	0
Jay-Indiana	147	0	0
Jefferson-Indiana	226	3	0
Jennings-Indiana	293	12	0
Johnson-Indiana	2115	122	0
Knox-Indiana	406	8	0
Kosciusko-Indiana	1124	17	0
La Grange-Indiana	620	11	0
Lake-Indiana	9648	304	0
La Porte-Indiana	1271	37	0
Lawrence-Indiana	483	27	0
Madison-Indiana	1443	74	0
Marion-Indiana	19473	753	0
Marshall-Indiana	942	23	0
Martin-Indiana	132	0	0
Miami-Indiana	403	2	0
Monroe-Indiana	1596	36	0
Montgomery-Indiana	474	21	0
Morgan-Indiana	633	36	0
Newton-Indiana	151	10	0
Noble-Indiana	844	32	0
Ohio-Indiana	74	7	0
Orange-Indiana	263	24	0
Owen-Indiana	156	1	0
Parke-Indiana	84	2	0
Perry-Indiana	198	14	0
Pike-Indiana	116	1	0
Porter-Indiana	1868	43	0
Posey-Indiana	255	0	0
Pulaski-Indiana	105	1	0
Putnam-Indiana	474	8	0
Randolph-Indiana	193	7	0
Ripley-Indiana	259	8	0
Rush-Indiana	142	4	0
St Joseph-Indiana	5556	96	0
Scott-Indiana	328	10	0
Shelby-Indiana	639	29	0
Spencer-Indiana	176	3	0
Starke-Indiana	218	7	0
Steuben-Indiana	323	7	0
Sullivan-Indiana	313	11	0
Switzerland-Indiana	65	0	0
Tippecanoe-Indiana	1819	13	0
Tipton-Indiana	207	22	0
Union-Indiana	71	0	0
Vanderburgh-Indiana	2876	23	0
Vermillion-Indiana	114	0	0
Vigo-Indiana	1600	19	0
Wabash-Indiana	234	7	0
Warren-Indiana	38	1	0
Warrick-Indiana	900	31	0
Washington-Indiana	243	1	0
Wayne-Indiana	676	12	0
Wells-Indiana	224	2	0
White-Indiana	464	13	0
Whitley-Indiana	236	6	0
Adair-Iowa	55	1	0
Adams-Iowa	23	0	0
Allamakee-Iowa	211	5	0
Appanoose-Iowa	104	3	0
Audubon-Iowa	42	1	0
Benton-Iowa	231	1	0
Black Hawk-Iowa	4116	81	0
Boone-Iowa	397	5	0
Bremer-Iowa	412	7	0
Buchanan-Iowa	202	1	0
Buena Vista-Iowa	1874	12	0
Butler-Iowa	235	2	0
Calhoun-Iowa	144	2	0
Carroll-Iowa	515	5	0
Cass-Iowa	119	2	0
Cedar-Iowa	188	1	0
Cerro Gordo-Iowa	920	21	0
Cherokee-Iowa	154	2	0
Chickasaw-Iowa	166	0	0
Clarke-Iowa	248	3	0
Clay-Iowa	247	3	0
Clayton-Iowa	209	3	0
Clinton-Iowa	959	15	0
Crawford-Iowa	881	3	0
Dallas-Iowa	2534	38	0
Davis-Iowa	103	4	0
Decatur-Iowa	51	0	0
Delaware-Iowa	273	3	0
Des Moines-Iowa	667	6	0
Dickinson-Iowa	446	6	0
